cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,mean_INSP_FLAG,product_index
54,934,0.0056349584617890695,192.95,398.93460385438976,,,,,7.0,6.999571734475375,0.0,0.0,0.0,0.0,F,MID,N,,-42.957625,1312.7628387096775,256.6891827956989,99.38644444444444,0.20214094033342164,0.0034946761006522044,398.93460385438976,20.635974304068522,,0.0
50,913,0.005508262393590386,148.54,304.7469331872946,,,,,9.0,8.966812705366921,0.0,0.0,0.0,0.0,F,MID,N,-147.835,-34.721774193548384,1093.802310231023,212.95983498349838,145.57095238095238,0.20153249819935426,6.595572775308769,304.7469331872946,21.434830230010952,,0.0
47,874,0.005272969695507116,2295.02,2239.7781818181816,,,,,0.0,0.004004576659038902,0.0,0.0,0.0,0.0,F,MID,N,,0.0,4221.887272727272,779.0754545454547,0.0,0.006908931862545913,0.0,28.189427917620133,17.02517162471396,,0.0
27,788,0.004754119130502984,8512.515,19780.74692893401,0.0,0.8160786802030456,0.0,0.769506451063605,4.0,5.310532994923857,0.0,0.1319796954314721,0.0,0.2068527918781726,F,MID,N,2182.8606779661013,10197.233505291004,38000.53530638853,5485.220299869621,45117.78150212983,0.49240737871458146,99.02688745901423,19781.516435385074,22.178934010152282,,0.2761882495955096
52,746,0.0045007269941056164,157.29000000000002,268.4522386058981,,,,,8.0,7.998793565683647,0.0,0.0,0.0,0.0,F,MID,N,,-132.22620689655173,1052.8820596205962,217.94883468834686,281.7568,0.18648437341822743,0.002460778887521834,268.4522386058981,21.450402144772116,,0.0
49,738,0.004452461825268023,176.755,297.5408401084011,,,,,10.0,9.966666666666667,0.0,0.0,0.0,0.0,E,MID,N,,-153.96388888888887,1073.8413741496602,226.5255646258503,102.96565217391304,0.1877344650224747,0.0026976690746221593,297.5408401084011,22.390243902439025,,0.0
98,645,0.0038913792375309952,0.0,0.007984496124031012,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,0.0,0.6529458598726117,0.4578662420382166,3735.818235294118,0.061998799110564516,0.0,0.007984496124031012,18.133333333333333,,0.0
72,574,0.0034630258640973507,2299.44,2308.017469879518,,,,,3.0,3.0,0.0,0.0,0.0,0.0,F,MID,N,,0.0,3442.544819277108,798.5491566265059,3769.9384693877546,0.0808193595367922,0.0011776837378663794,333.73771777003486,18.28919860627178,,0.0
87,560,0.003378561818631562,87.87,87.41305357142856,,,,,3.0,3.0,0.0,0.0,0.0,0.0,F,MID,N,,-104.28200000000001,567.4657142857143,110.46435714285712,20.9525,0.0877255609613506,0.001680635396710434,87.41305357142856,20.0,,0.0
45,513,0.0030950039517106988,290.35,426.7796491228071,,,,,11.0,11.000779727095516,0.0,0.0,0.0,0.0,E,MID,N,,-74.79625,1352.828705882353,306.11907843137254,159.56478260869562,0.2603507289227018,0.005420126179135184,426.7796491228071,22.746588693957115,,0.0
61,460,0.00277524720816164,7771.015,7805.447869565218,,,,,3.0,3.0002173913043477,0.0,0.0,0.0,0.0,F,MID,N,,94.804,10315.071913043479,1963.3509130434784,868.96225,0.6101744416342159,0.027794606460305207,7805.447869565218,22.0,,0.0
16,447,0.00269681630880055,1009.99,1963.0078523489935,1300.0,1294.881879194631,542.3568075475849,554.2010527307027,1.9,4.882774049217002,1.0,1.0246085011185682,0.0,0.026845637583892617,F,MID,Y,1231.261893939394,1316.669111111111,4840.599835616437,805.5411232876712,10447.314782608395,0.32269571706801214,0.04346802724980963,2517.2089050796963,23.263982102908276,,2.144154277061129
11,441,0.002660617432172355,5200.12,6370.396712018141,4849.0,4837.802403628118,0.0,0.0,3.0,4.498639455782313,0.0,0.13378684807256236,0.0,0.25170068027210885,E,MID,N,611.8281707317075,4565.909614395887,13458.140814814813,2274.0228641975314,10128.046586823031,0.49960977181254723,0.3519108427472669,6370.396712018141,22.841269841269842,,0.2799700004403111
37,436,0.002630451701648859,454.02,733.8046437346437,,,,,13.0,13.000688073394496,0.0,0.0,0.0,0.0,E,MID,N,,-627.7497058823528,2157.2674137931035,355.6343349753694,1057.8873333333333,0.2520482959584198,0.0013981365835739601,684.9965366972477,22.706422018348626,,0.0
