CUSTOMER_ID,cluster
163760,3
161635,3
179941,3
201520,8
195848,3
179871,3
189610,3
153813,3
173198,3
776500,3
177436,3
176916,3
199364,3
152126,8
177464,3
159306,3
315200,3
162049,3
174967,3
165296,3
172276,3
204251,3
177450,3
171206,3
176048,3
142894,3
197379,8
138791,3
200931,3
188119,3
526712,3
152226,8
161030,3
371864,3
201075,3
205742,3
183366,8
811376,3
145049,3
491181,3
164163,8
192892,3
181846,8
175354,3
174780,3
142887,8
182930,3
153550,3
169955,3
201137,8
138632,3
175503,3
167989,3
157915,8
196384,3
190765,3
182639,3
1205555,3
168868,3
180583,3
155297,8
176274,3
159676,8
153829,3
174658,3
180726,3
166458,8
198990,3
177133,8
140480,3
186205,3
164479,8
139360,3
145617,3
145124,3
148075,3
186455,3
142560,3
204702,3
139122,3
139120,3
160196,3
184216,3
145098,3
159562,8
139749,3
166303,3
153391,8
179246,3
167411,3
175162,3
139788,3
164379,8
185779,3
175077,8
155982,3
156042,3
164762,3
158664,3
162237,3
373174,3
172293,8
149842,3
197256,3
172261,8
195294,8
160523,3
142613,3
421181,3
164708,3
163248,3
140320,3
189055,8
749182,3
170141,3
162454,8
168098,3
204447,3
164888,8
192279,3
146131,3
188329,8
180955,3
170291,3
160992,3
162244,3
155440,3
133900,3
173732,3
167686,3
141564,3
137519,3
485674,3
151717,3
157716,3
140823,3
163478,3
136529,3
197922,3
154166,3
187467,3
190757,3
190433,3
175804,3
194012,3
166289,3
142027,8
186863,3
203358,3
162450,3
1199695,3
179794,3
193241,3
201062,3
192920,3
191617,3
144520,3
192413,3
171378,3
172272,3
176610,3
141575,8
139663,3
171189,3
171297,3
146711,3
13383,3
155045,3
162413,3
170412,3
171796,3
201257,3
161251,3
145504,3
141252,3
163942,3
188475,3
186914,3
178500,3
1202062,8
167693,3
204591,3
197115,3
145081,8
166705,3
162434,3
190879,3
175788,3
189829,3
147337,8
166288,8
162959,3
190701,3
181781,3
142393,3
180900,3
534716,3
199915,3
189629,3
204464,3
153338,8
